"system","user","assistant","language","topic","level","domain"
"Eres contador especializado en planificación financiera personal.","¿Qué es el puntaje crediticio?","El puntaje crediticio es un indicador numérico que evalúa la probabilidad de cumplimiento de obligaciones financieras.","es","credit_score","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a credit score?","A credit score is a numerical indicator that assesses the likelihood of repaying financial obligations.","en","credit_score","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la tasa de interés nominal?","La tasa nominal es el porcentaje establecido contractualmente sin considerar el efecto de la capitalización.","es","interest","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a nominal interest rate?","A nominal interest rate is the stated percentage rate without adjusting for compounding effects.","en","interest","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la tasa efectiva?","La tasa efectiva es la tasa real obtenida después de considerar la capitalización en un periodo determinado.","es","interest","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is an effective interest rate?","An effective interest rate reflects the real return after accounting for compounding within a period.","en","interest","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el ahorro para el retiro?","El ahorro para el retiro es la acumulación sistemática de recursos destinados a financiar la etapa posterior a la vida laboral.","es","retirement_planning","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is retirement saving?","Retirement saving is the systematic accumulation of funds to finance life after employment.","en","retirement_planning","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el valor presente neto aplicado a decisiones personales?","Es la evaluación de decisiones financieras descontando flujos futuros al valor actual para determinar su conveniencia.","es","time_value_of_money","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is net present value in personal decisions?","It evaluates financial decisions by discounting future cash flows to present value to assess viability.","en","time_value_of_money","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un objetivo financiero?","Un objetivo financiero es una meta cuantificable relacionada con la acumulación o uso eficiente de recursos monetarios.","es","financial_planning","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a financial goal?","A financial goal is a measurable target related to the accumulation or efficient use of monetary resources.","en","financial_planning","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la liquidez personal?","La liquidez personal es la capacidad de convertir activos en efectivo sin pérdida significativa de valor.","es","liquidity","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is personal liquidity?","Personal liquidity is the ability to convert assets into cash without significant loss of value.","en","liquidity","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la asignación de activos?","La asignación de activos es la distribución estratégica del capital entre diferentes clases de inversión.","es","investments","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is asset allocation?","Asset allocation is the strategic distribution of capital among different investment classes.","en","investments","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el costo de oportunidad?","El costo de oportunidad es el beneficio que se renuncia al elegir una alternativa sobre otra.","es","decision_making","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is opportunity cost?","Opportunity cost is the benefit forgone when choosing one alternative over another.","en","decision_making","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la educación financiera?","La educación financiera es el proceso de adquirir conocimientos y habilidades para tomar decisiones económicas informadas.","es","financial_literacy","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial literacy?","Financial literacy is the process of acquiring knowledge and skills to make informed economic decisions.","en","financial_literacy","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la consolidación de deudas?","La consolidación de deudas consiste en combinar múltiples obligaciones en un solo préstamo con mejores condiciones.","es","debt_management","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is debt consolidation?","Debt consolidation combines multiple obligations into a single loan under improved terms.","en","debt_management","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el análisis de rollforward del patrimonio?","Es el proceso de explicar los cambios en el patrimonio neto entre dos fechas identificando aumentos y disminuciones.","es","rollforward","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a net worth rollforward analysis?","It explains changes in net worth between two dates by identifying increases and decreases.","en","rollforward","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la tasa de ahorro?","La tasa de ahorro es el porcentaje del ingreso que se destina a ahorro en un periodo determinado.","es","savings","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a savings rate?","A savings rate is the percentage of income allocated to savings during a given period.","en","savings","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el capital financiero?","El capital financiero es el conjunto de recursos monetarios disponibles para inversión o consumo.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial capital?","Financial capital refers to monetary resources available for investment or consumption.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la amortización de una deuda?","La amortización es el proceso de reducir una deuda mediante pagos periódicos que incluyen capital e intereses.","es","debt_management","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is debt amortization?","Amortization is the process of reducing debt through periodic payments that include principal and interest.","en","debt_management","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el capital principal?","El capital principal es el monto original invertido o prestado antes de intereses.","es","interest","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is principal capital?","Principal is the original amount invested or borrowed before interest.","en","interest","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la independencia financiera?","La independencia financiera es la capacidad de cubrir gastos sin depender de ingresos laborales activos.","es","financial_planning","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial independence?","Financial independence is the ability to cover living expenses without relying on active employment income.","en","financial_planning","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el apalancamiento financiero?","El apalancamiento financiero es el uso de deuda para aumentar el potencial rendimiento de una inversión.","es","investments","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial leverage?","Financial leverage is the use of borrowed funds to increase the potential return of an investment.","en","investments","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la rentabilidad?","La rentabilidad es la capacidad de una inversión para generar ganancias en relación con el capital invertido.","es","investments","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is profitability?","Profitability is the ability of an investment to generate gains relative to the capital invested.","en","investments","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el rendimiento anualizado?","El rendimiento anualizado es la tasa promedio anual que refleja el desempeño de una inversión en varios periodos.","es","investments","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is annualized return?","Annualized return is the average yearly rate reflecting investment performance over multiple periods.","en","investments","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el riesgo sistemático?","El riesgo sistemático es el riesgo inherente al mercado que no puede eliminarse mediante diversificación.","es","risk_management","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is systematic risk?","Systematic risk is market-wide risk that cannot be eliminated through diversification.","en","risk_management","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el riesgo no sistemático?","El riesgo no sistemático es el riesgo específico de un activo que puede reducirse mediante diversificación.","es","risk_management","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is unsystematic risk?","Unsystematic risk is asset-specific risk that can be reduced through diversification.","en","risk_management","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la capitalización?","La capitalización es el proceso mediante el cual los intereses generados se reinvierten para producir nuevos intereses.","es","interest","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is compounding?","Compounding is the process by which earned interest is reinvested to generate additional interest.","en","interest","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la capacidad de pago?","La capacidad de pago es la habilidad de cumplir obligaciones financieras según ingresos y gastos disponibles.","es","debt_management","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is repayment capacity?","Repayment capacity is the ability to meet financial obligations based on available income and expenses.","en","debt_management","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el índice de endeudamiento personal?","Es la relación entre deudas totales e ingresos o activos disponibles.","es","debt_management","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a personal debt ratio?","It is the relationship between total debt and income or available assets.","en","debt_management","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la planificación a largo plazo?","Es el diseño de estrategias financieras orientadas a metas futuras de varios años.","es","financial_planning","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is long-term financial planning?","It is the design of financial strategies aimed at goals several years ahead.","en","financial_planning","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la volatilidad?","La volatilidad es la variación del precio de un activo en un periodo determinado.","es","investments","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is volatility?","Volatility measures the price variation of an asset over a specific period.","en","investments","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el rendimiento ajustado por riesgo?","Es el retorno obtenido considerando el nivel de riesgo asumido.","es","investments","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is risk-adjusted return?","It is the return earned relative to the level of risk taken.","en","investments","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el flujo de caja positivo?","Es cuando los ingresos superan los gastos en un periodo determinado.","es","cash_flow","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is positive cash flow?","It occurs when income exceeds expenses during a given period.","en","cash_flow","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el flujo de caja negativo?","Es cuando los gastos superan los ingresos en un periodo determinado.","es","cash_flow","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is negative cash flow?","It occurs when expenses exceed income during a given period.","en","cash_flow","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la protección financiera?","Es la implementación de mecanismos para reducir el impacto de eventos adversos.","es","risk_management","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial protection?","It involves mechanisms designed to reduce the impact of adverse events.","en","risk_management","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la planificación tributaria personal?","Es la organización de finanzas para optimizar obligaciones fiscales dentro del marco legal.","es","tax_planning","advanced","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is personal tax planning?","It is the organization of finances to optimize tax obligations within the legal framework.","en","tax_planning","advanced","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el patrimonio acumulado?","Es el total de activos netos construidos a lo largo del tiempo.","es","net_worth","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is accumulated wealth?","It is the total net assets built over time.","en","net_worth","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la estrategia de inversión?","Es el plan estructurado para asignar recursos con el fin de alcanzar objetivos financieros.","es","investments","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is an investment strategy?","It is a structured plan for allocating resources to achieve financial goals.","en","investments","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el análisis costo-beneficio personal?","Es la evaluación de decisiones comparando costos con beneficios esperados.","es","decision_making","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is personal cost-benefit analysis?","It evaluates decisions by comparing expected costs and benefits.","en","decision_making","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la reserva de liquidez?","Es el monto de efectivo disponible para cubrir necesidades inmediatas.","es","liquidity","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a liquidity reserve?","It is the amount of cash available to meet immediate needs.","en","liquidity","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el horizonte de inversión?","Es el periodo estimado durante el cual se mantendrá una inversión antes de necesitar los fondos.","es","investments","intermediate","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is an investment horizon?","It is the expected period an investment will be held before the funds are needed.","en","investments","intermediate","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la disciplina financiera?","Es la práctica constante de tomar decisiones económicas responsables y coherentes.","es","financial_literacy","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial discipline?","It is the consistent practice of making responsible and coherent financial decisions.","en","financial_literacy","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué son las finanzas personales?","Las finanzas personales son la disciplina que estudia cómo las personas administran sus ingresos, gastos, ahorro e inversiones para lograr estabilidad económica.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is personal finance?","Personal finance is the discipline that studies how individuals manage income, expenses, savings, and investments to achieve financial stability.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el ingreso personal?","El ingreso personal es el dinero que una persona recibe por trabajo, negocios o inversiones.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is personal income?","Personal income is the money an individual receives from work, business, or investments.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un gasto?","Un gasto es una salida de dinero destinada a cubrir necesidades o deseos.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is an expense?","An expense is an outflow of money used to cover needs or wants.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el ahorro?","El ahorro es la parte del ingreso que no se gasta y se reserva para el futuro.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is saving?","Saving is the portion of income that is not spent and reserved for the future.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un presupuesto?","Un presupuesto es un plan que organiza ingresos y gastos en un periodo determinado.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a budget?","A budget is a plan that organizes income and expenses over a specific period.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la estabilidad financiera?","La estabilidad financiera es la capacidad de cumplir obligaciones sin generar estrés económico.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial stability?","Financial stability is the ability to meet obligations without causing financial stress.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un objetivo financiero?","Un objetivo financiero es una meta relacionada con el uso o acumulación de dinero.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a financial goal?","A financial goal is a target related to the use or accumulation of money.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la educación financiera?","La educación financiera es el conocimiento necesario para tomar decisiones económicas informadas.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial literacy?","Financial literacy is the knowledge required to make informed economic decisions.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un activo?","Un activo es un recurso que tiene valor económico.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is an asset?","An asset is a resource that has economic value.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un pasivo?","Un pasivo es una obligación financiera pendiente de pago.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a liability?","A liability is a financial obligation that must be paid.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el patrimonio neto?","El patrimonio neto es la diferencia entre activos y pasivos.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is net worth?","Net worth is the difference between assets and liabilities.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el flujo de caja?","El flujo de caja es el movimiento de dinero que entra y sale en un periodo.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is cash flow?","Cash flow is the movement of money coming in and going out over a period.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un gasto fijo?","Un gasto fijo es un pago que se repite regularmente con monto similar.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a fixed expense?","A fixed expense is a recurring payment with a similar amount each period.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es un gasto variable?","Un gasto variable es un pago que cambia según el consumo.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a variable expense?","A variable expense is a payment that changes depending on consumption.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la liquidez?","La liquidez es la facilidad para convertir un activo en efectivo.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is liquidity?","Liquidity is the ease of converting an asset into cash.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el consumo responsable?","El consumo responsable es gastar de acuerdo con los ingresos disponibles.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is responsible spending?","Responsible spending means using money according to available income.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el control financiero?","El control financiero es el seguimiento continuo de ingresos y gastos.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial control?","Financial control is the ongoing monitoring of income and expenses.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la planificación financiera?","La planificación financiera es el proceso de organizar los recursos económicos para alcanzar metas específicas.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial planning?","Financial planning is the process of organizing economic resources to achieve specific goals.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el ingreso bruto?","El ingreso bruto es el total recibido antes de deducciones o impuestos.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is gross income?","Gross income is the total amount received before deductions or taxes.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el ingreso disponible?","El ingreso disponible es el dinero que queda después de pagar impuestos y obligaciones básicas.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is disposable income?","Disposable income is the money remaining after paying taxes and basic obligations.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el gasto discrecional?","El gasto discrecional es el destinado a bienes o servicios no esenciales.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is discretionary spending?","Discretionary spending refers to money used for non-essential goods or services.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es una meta a corto plazo?","Una meta a corto plazo es un objetivo financiero que se espera cumplir en menos de un año.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a short-term goal?","A short-term goal is a financial objective expected to be achieved within one year.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es una meta a largo plazo?","Una meta a largo plazo es un objetivo financiero que requiere varios años para cumplirse.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a long-term goal?","A long-term goal is a financial objective that requires several years to accomplish.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la disciplina de ahorro?","La disciplina de ahorro es la práctica constante de reservar parte del ingreso regularmente.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is saving discipline?","Saving discipline is the consistent practice of setting aside part of income regularly.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es una obligación financiera?","Una obligación financiera es un compromiso de pago adquirido por contrato o acuerdo.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a financial obligation?","A financial obligation is a payment commitment established by contract or agreement.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el equilibrio financiero?","El equilibrio financiero ocurre cuando los ingresos cubren adecuadamente los gastos.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial balance?","Financial balance occurs when income adequately covers expenses.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el control de gastos?","El control de gastos es la supervisión sistemática de las salidas de dinero.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is expense control?","Expense control is the systematic monitoring of money outflows.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el bienestar financiero?","El bienestar financiero es la sensación de seguridad respecto a la situación económica personal.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial well-being?","Financial well-being is the sense of security regarding one's economic situation.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la responsabilidad financiera?","La responsabilidad financiera es actuar de manera prudente en decisiones económicas.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial responsibility?","Financial responsibility is acting prudently in economic decisions.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la capacidad de ahorro?","La capacidad de ahorro es el margen del ingreso que puede reservarse después de cubrir gastos.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is saving capacity?","Saving capacity is the portion of income that can be reserved after covering expenses.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el hábito financiero?","Un hábito financiero es una conducta repetitiva relacionada con el manejo del dinero.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is a financial habit?","A financial habit is a repeated behavior related to money management.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el monitoreo financiero?","El monitoreo financiero es la revisión periódica de ingresos, gastos y metas.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial monitoring?","Financial monitoring is the periodic review of income, expenses, and goals.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la estabilidad económica personal?","Es la condición en la que una persona mantiene control sostenido sobre su situación financiera.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is personal economic stability?","It is the condition in which an individual maintains sustained control over their financial situation.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la organización financiera?","La organización financiera es el proceso de estructurar ingresos, gastos y metas para mantener orden económico.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial organization?","Financial organization is the process of structuring income, expenses, and goals to maintain economic order.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es la toma de decisiones financieras?","Es el proceso de elegir entre alternativas considerando impacto económico.","es","foundations","basic","personal_finance"
"You are a certified public accountant specialized in personal finance.","What is financial decision-making?","It is the process of choosing between alternatives considering economic impact.","en","foundations","basic","personal_finance"
"Eres contador especializado en planificación financiera personal.","¿Qué es el consumo consciente?","El consumo consciente es gastar considerando necesidades reales y capacidad financiera.","es","foundations","basic","personal_finance"
